Mystical Agriculture,102.8M,"Nov 25, 2024","Jun 25, 2016",25
Polymorph (Fabric/Forge/Quilt),102.2M,"Sep 19, 2024","Jun 9, 2020",21
ReAuth,101.1M,"Feb 22, 2023","Nov 6, 2015",34
Building Gadgets,100.2M,"Aug 10, 2024","Jul 14, 2018",22
spark,99.7M,"Nov 21, 2024","Feb 6, 2020",28
Thermal Dynamics,99.6M,"May 26, 2024","Jan 31, 2015",7
Extra Utilities,99.6M,"Feb 21, 2019","Nov 13, 2014",10
Create,99.6M,"Oct 23, 2024","Jul 18, 2019",10
Farmer's Delight,98.7M,"Nov 5, 2024","Jul 28, 2020",14
Jade 🔍,97.4M,"Nov 7, 2024","Jun 19, 2019",27
Foam​Fix,97.4M,"Nov 10, 2023","Sep 21, 2017",10
FerriteCore ((Neo)Forge),97.3M,"Oct 27, 2024","Dec 18, 2020",20
MrCrayfish's Furniture Mod (Legacy),96.9M,"Jun 22, 2023","Apr 7, 2013",28
BiblioCraft,96.8M,"Feb 13, 2022","Feb 22, 2015",14
Neat,96.6M,"Oct 23, 2024","Nov 28, 2015",29
Aquaculture 2,96.4M,"Nov 19, 2024","Jun 24, 2013",28
Pam's HarvestCraft,95.7M,"Mar 18, 2020","Jun 28, 2014",12
XNet,94.8M,"Oct 30, 2024","Feb 17, 2017",20
ForgeEndertech,94.8M,"Oct 19, 2024","May 7, 2016",31
iChunUtil,94.6M,"Jul 28, 2024","Mar 31, 2015",31
Flux Networks,93.3M,"Apr 4, 2024","Jul 26, 2016",22
Blood Magic ,93.2M,"Apr 25, 2024","Oct 9, 2014",16
EnderCore,93.2M,"Jul 29, 2023","Jun 21, 2015",6
YUNG's Better Mineshafts (Forge),93.2M,"Oct 14, 2024","Jun 14, 2020",20
FTB Teams (Forge),92.5M,"Nov 7, 2024","Aug 25, 2020",15
MTLib,92.4M,"May 13, 2021","Nov 4, 2016",5
Konkrete [Forge/NeoForge],92.4M,"Jun 21, 2024","Sep 28, 2020",28
Chameleon,92.3M,"Jul 15, 2017","May 14, 2015",12
BetterFps,91.5M,"Sep 23, 2017","Apr 25, 2015",14
Sophisticated Backpacks,91.5M,"Nov 22, 2024","Nov 24, 2020",14
Reborn Core,91.4M,"Nov 26, 2024","Nov 12, 2015",31
Ore Excavation,91.4M,"Sep 25, 2024","Sep 10, 2016",25
NetherPortalFix,91.3M,"Oct 29, 2024","Jan 25, 2016",37
Ender IO,91.0M,"Oct 29, 2024","Aug 27, 2013",11
YUNG's API (Forge),90.3M,"Nov 20, 2024","Nov 22, 2020",15
FTB Library (Forge) (Legacy),90.2M,"Jun 22, 2020","Oct 19, 2015",15
Xaero's World Map,89.3M,"Nov 10, 2024","Mar 20, 2019",42
Better Builder's Wands,88.9M,"Mar 24, 2019","Nov 29, 2015",12
KleeSlabs,88.2M,"Oct 23, 2024","Feb 16, 2016",37
Hwyla,87.7M,"Aug 15, 2020","Nov 9, 2016",24
FastFurnace,87.5M,"Sep 24, 2024","Jul 31, 2018",15
Macaw's Bridges,86.7M,"Aug 16, 2024","Nov 16, 2019",26
FTB Utilities (Forge),86.3M,"Jan 3, 2021","Oct 17, 2015",15
SwingThroughGrass,84.4M,"Oct 16, 2022","Apr 3, 2017",18
AI Improvements,84.3M,"Jun 14, 2024","Jul 22, 2015",32
SuperMartijn642's Core Lib,83.5M,"Nov 8, 2024","Mar 7, 2021",38
The One Probe,83.4M,"Oct 23, 2024","May 18, 2016",34
Entity Culling Fabric/Forge,83.3M,"Nov 1, 2024","Feb 18, 2021",29
Balm,83.1M,"Oct 26, 2024","Sep 27, 2021",18
Bad Wither No Cookie - Reloaded,83.1M,"Oct 20, 2024","Feb 20, 2017",28
FancyMenu,82.0M,"Oct 19, 2024","Mar 16, 2020",30
Common Capabilities,81.5M,"Nov 10, 2024","Jul 3, 2016",21
Mob Grinding Utils,81.0M,"Oct 18, 2024","Nov 26, 2016",16
Integrated Dynamics,80.2M,"Nov 22, 2024","Sep 22, 2015",23
Apotheosis,79.5M,"Sep 24, 2024","Feb 11, 2019",13
Alex's Mobs,79.5M,"Sep 6, 2024","Dec 7, 2020",15
Mystical Agradditions,78.9M,"Nov 19, 2024","Dec 31, 2016",22
Mekanism Tools,78.9M,"Nov 19, 2024","May 27, 2017",20
Brandon's Core,78.5M,"Jun 12, 2024","Jun 8, 2015",9
Thermal Innovation,78.2M,"May 26, 2024","Apr 7, 2018",8
Draconic Evolution,78.0M,"Nov 27, 2024","Aug 20, 2014",9
ValkyrieLib,77.8M,"Oct 21, 2023","May 26, 2016",19
Puzzles Lib [Forge & Fabric],77.8M,"Nov 26, 2024","Jun 18, 2021",19
Redstone Flux,77.0M,"Apr 3, 2020","Jun 26, 2017",3
Guide-API,76.4M,"Dec 9, 2018","Mar 24, 2015",12
Farming for Blockheads,76.2M,"Oct 29, 2024","Mar 2, 2017",31
Akashic Tome,75.6M,"Aug 7, 2024","Sep 1, 2016",15
RFTools,75.6M,"Jan 15, 2020","Oct 2, 2014",12
Refined Storage Addons,75.3M,"Feb 16, 2024","Jul 17, 2017",16
Ice and Fire: Dragons,74.7M,"Aug 15, 2024","Apr 1, 2017",12
SuperMartijn642's Config Lib,74.4M,"Jul 19, 2024","Jan 20, 2021",38
Kotlin for Forge,74.4M,"Oct 21, 2024","Nov 11, 2019",42
Rhino,73.4M,"Sep 4, 2024","Oct 29, 2020",22
Caelus API (Forge/NeoForge),73.3M,"Sep 5, 2024","Dec 14, 2018",25
RandomPatches (Forge),73.2M,"Feb 20, 2021","Jan 18, 2018",22
Wawla - What Are We Looking At,73.2M,"Apr 2, 2022","Oct 5, 2014",28
ZeroCore 2,73.0M,"Dec 1, 2024","Jul 24, 2016",20
In Control!,72.6M,"Nov 24, 2024","Jan 16, 2017",18
LLibrary,72.2M,"Sep 13, 2024","Mar 25, 2016",10
Integrated Tunnels,71.9M,"Nov 22, 2024","Sep 24, 2016",18
Cyclic,70.3M,"Nov 26, 2024","Dec 31, 2015",28
Reliquary Reincarnations,70.3M,"Nov 13, 2024","Jan 30, 2016",22
Actually Additions,69.5M,"Nov 13, 2024","Mar 7, 2015",13
KubeJS,69.3M,"Oct 28, 2024","Nov 19, 2015",18
Silent Lib (silentlib),69.0M,"Sep 16, 2024","Mar 18, 2016",35
Extreme Reactors,68.9M,"Dec 1, 2024","Aug 25, 2016",20
ModernFix,68.9M,"Nov 4, 2024","Jan 4, 2023",14
RFTools Control,68.9M,"Oct 26, 2024","Sep 6, 2016",19
